기상셀ID,기후권역,중심경도_wgs84,중심위도_wgs84,중심점_셀내부,DEM_X,DEM_Y,DEM_범위내,DEM_고도_m,DEM_샘플성공
YD_0020,영동,128.6256266957444,38.030060394140726,True,342729.1514271493,604584.2201627083,True,153.38121032714844,True
YD_0021,영동,128.37782133666127,38.54487840784246,True,320119.16773018945,661382.4672407801,True,81.35174560546875,True
YS_0001,영서,127.72963593510455,37.886629112634175,True,264184.68364338286,587667.3319381286,True,153.55636596679688,True
YS_0002,영서,127.9401977336872,37.35250035866684,True,283301.65532150946,528548.4750186548,True,146.59579467773438,True
YS_0003,영서,127.89551677059043,37.69433542080602,True,278981.60990709544,566450.6139087629,True,122.62921142578125,True
YS_0004,영서,128.16856063548136,38.04366882682685,True,302578.3918523666,605491.7982556197,True,235.5117645263672,True
YS_0005,영서,128.9844178845016,37.15809787466207,True,376279.58892157197,508402.8156849164,True,685.01806640625,True
YS_0006,영서,127.3339612342834,38.15667166616021,True,229270.1623981662,617442.9375210953,True,329.27099609375,True
YS_0007,영서,127.94864798056436,37.49666755157354,True,283889.3493386601,544557.0271560849,True,271.10125732421875,True
YS_0008,영서,128.30428778743203,37.94275909544327,True,314650.2335810468,594448.9538325277,True,468.4010009765625,True
YS_0009,영서,127.6901183801838,37.68222632295505,True,260875.79399170785,564953.3099158145,True,241.6969757080078,True
YS_0010,영서,128.45878155500836,37.1918864728047,True,329525.3640398498,511305.2657197249,True,253.17942810058594,True
YS_0011,영서,128.71048146967948,37.72351572508557,True,350803.7747272815,570689.4605854709,True,968.8475341796875,True
YS_0012,영서,127.99642072636628,38.10281501547259,True,287396.81713409064,611881.177757841,True,288.71612548828125,True
YS_0013,영서,128.63486528156517,37.3647290404191,True,344829.29670794745,530745.1549701544,True,611.6399536132812,True
YS_0014,영서,127.70403032643988,38.08479213789963,True,261765.82457649295,609645.7757178176,True,122.57811737060547,True
YS_0015,영서,127.5584087661896,37.7785753822513,True,249193.71562505886,575569.9707248851,True,277.07659912109375,True
YS_0016,영서,128.64753064284983,37.70379288065001,True,345291.8697109405,568400.6242858269,True,1005.3754272460938,True
YS_0017,영서,127.29848679319318,38.27358035305966,True,226119.16246252315,630409.3062017338,True,202.3148651123047,True
YS_0018,영서,127.97425278942852,38.22060094009784,True,285315.02381601976,624935.1764825134,True,367.97357177734375,True
YS_0019,영서,128.63001020317688,37.20800276310477,True,344699.05310140643,513341.8698954369,True,557.0578002929688,True
YS_0020,영서,128.47728611518068,37.52241669794688,True,330594.39129226597,548017.6480236863,True,553.6029663085938,True
YS_0021,영서,128.55001338941614,37.65968049579804,True,336772.4930870125,563357.3057754057,True,588.4130859375,True
YS_0022,영서,128.14020217553954,37.59088670778849,True,300702.2716582058,555202.7338396732,True,452.9772033691406,True
YS_0023,영서,128.18631017820965,37.45463559013893,True,304965.40514143684,540130.1663186838,True,494.0508117675781,True
YS_0024,영서,128.1835068310461,37.73672429633393,True,304322.7245810163,571437.4690232106,True,584.8184204101562,True
YS_0025,영서,128.36440343985802,37.63987112471458,True,320425.4971189838,560903.9403890012,True,716.86865234375,True
YS_0026,영서,127.17885812848336,38.27132822692793,True,215651.49854905636,630132.3055503715,True,199.90097045898438,True
YS_0027,영서,128.66937792458748,37.480088901404784,True,347660.1469109809,543603.3922215644,True,659.745849609375,True
YS_0028,영서,128.26822401451136,37.283938350826965,True,312468.06406438304,521278.6008200059,True,254.72605895996094,True
YS_0029,영서,127.93697241533516,37.24548314952887,True,283133.5977544493,516668.0903642308,True,844.1372680664062,True
YS_0030,영서,128.22380298643918,38.24501339494421,True,307132.93982523313,627904.5090185241,True,515.7597045898438,True
YS_0031,영서,128.3885885048402,37.77711394308972,True,322334.3718190569,576169.117425392,True,674.1167602539062,True
YS_0032,영서,128.82175677093102,37.237253208881015,True,361659.7607093669,516898.7589155142,True,784.0424194335938,True
YS_0033,영서,128.85722822506546,37.474342362443565,True,364289.95128259197,543276.795955623,True,620.1671752929688,True
YS_0034,영서,128.10616088592695,38.261479016780086,True,296812.2637418671,629602.6500672444,True,636.2874755859375,True
YS_0035,영서,129.08985813281456,37.23569549513475,True,385457.12875791604,517217.518839372,True,911.2505493164062,True
YS_0036,영서,128.5449412266847,37.860266949358056,True,335957.1679697636,585615.4416081272,True,825.0979614257812,True
YS_0037,영서,127.79144212932904,37.95686671628988,True,269555.549818,595507.8612312708,True,452.09454345703125,True
YS_0038,영서,128.40432179611346,37.37923424948021,True,324380.7976327524,532026.3111515053,True,297.275390625,True
YS_0039,영서,128.34989690002007,38.24682492831688,True,318168.8535449576,628259.1055274215,True,735.55712890625,True
YS_0040,영서,128.0651683243498,37.39590143734621,True,294320.02117795905,533483.1287484353,True,764.7323608398438,True
YS_0041,영서,128.4653871345008,38.06390164313808,True,328600.1901923292,608106.9381114721,True,766.5418090820312,True
YS_0042,영서,127.8047969532804,37.20529223125496,True,271443.908644479,512099.6126765145,True,386.6357727050781,True
YS_0043,영서,128.09738518302416,37.26180898523015,True,297345.76861275366,518633.0086720854,True,502.7517395019531,True
YS_0044,영서,127.76752760085569,38.26373830761405,True,267172.1629158624,629553.3154404149,True,337.3363952636719,True
YS_0045,영서,127.86833440763104,38.28590422744528,True,275971.5807119978,632091.8381779722,True,903.08935546875,True
YS_0046,영서,127.84318217583692,38.17870858793136,True,273879.320602332,620172.3571076604,True,237.71942138671875,True
YS_0047,영서,128.40915311938684,38.11638724056105,True,323576.51591792476,613856.8246169412,True,1197.0443115234375,True
YS_0048,영서,128.4039210535427,38.19250402755127,True,322989.7335984333,622299.3946199241,True,971.1398315429688,True
YS_0049,영서,128.9227036364084,37.35926768235871,True,370342.9987039671,530619.5711987442,True,630.2314453125,True
YS_0050,영서,128.07518894636482,37.93714006799847,True,294518.41195592284,593568.0729449166,True,374.3219299316406,True
YS_0051,영서,127.88089540887708,38.026704772037775,True,277343.8884199959,603330.4263859222,True,204.99549865722656,True
YS_0052,영서,127.41297782488978,38.26015486354355,True,236144.41695890424,628957.5769788298,True,243.30628967285156,True
YS_0053,영서,128.76590906630943,37.60075870461102,True,355947.6000996892,557153.734421658,True,708.6710205078125,True
YS_0054,영서,127.54554178673166,38.06077939383968,True,247876.87912233273,606886.8540117517,True,393.14141845703125,True
YS_0055,영서,128.46294192629105,37.98485547199376,True,328523.63084149297,599328.9766980775,True,649.7570190429688,True
YS_0056,영서,128.65871898755103,37.60672486459708,True,346469.22780251387,557643.3091574402,True,1179.4351806640625,True
YS_0057,영서,128.2192222473178,38.12865752472447,True,306901.8684609466,614983.0163463104,True,229.8896026611328,True
YS_0058,영서,128.3346041403104,37.5331160842517,True,317963.6027875466,549016.6692336295,True,739.6986083984375,True
YS_0059,영서,128.3027789399532,38.39560947032933,True,313811.1095601967,644716.4468476701,True,586.130126953125,True
YS_0060,영서,127.24800908883604,38.20667346233736,True,221721.9889437049,622969.5079360162,True,176.78268432617188,True
YS_0061,영서,127.65613353100846,38.212072974412834,True,257463.76404402335,623743.3123044386,True,294.91802978515625,True
YS_0062,영서,127.5496610278362,38.261219753807616,True,248106.50220064408,629138.0137443302,True,344.0892333984375,True
YS_0063,영서,127.21555890362971,38.16371295807731,True,218890.91228697245,618193.7732530591,True,421.52178955078125,True
YS_0064,영서,127.82120013108828,37.33443756803011,True,272775.67474055383,526445.4029870006,True,59.98776626586914,True
YS_0065,영서,127.98334814135212,37.80049112163111,True,286604.420148369,578311.1252261081,True,212.02206420898438,True
YS_0066,영서,128.5527120130314,37.98388828389451,True,336412.43983863696,599349.3855015453,True,230.70840454101562,True
YS_0067,영서,128.86014950930988,37.56932643158695,True,364339.8335486213,553825.3856245041,True,789.2318725585938,True
YS_0068,영서,128.770023313925,37.10707481769602,True,357338.40839769196,502362.4610447888,True,685.0502319335938,True
YS_0069,영서,127.66013028841832,37.79656013703919,True,258140.99898457556,577624.5561644856,True,330.73199462890625,True
YS_0070,영서,127.4448923160912,38.14597486227514,True,238998.49656690902,616296.4181795847,True,739.3656005859375,True
YS_0071,영서,127.84795863697867,37.57970363059224,True,274902.05548581644,553688.2923625803,True,251.95851135253906,True
