기상셀ID,관측일수,평균기온_C,평균_일최저기온_C,평균_일최고기온_C,평균_일교차_C,평균습도_pct,평균풍속_m_s,평균_일최대풍속_m_s,총강수량_mm,연평균강수량_mm,기후권역,대표지점명,중심경도_wgs84,중심위도_wgs84,DEM_고도_m
YS_0004,731,11.216983584131327,6.463187414500684,16.97969904240766,10.516511627906976,69.60918262653898,1.5491250569995438,3.4042954856361147,2379.78,1189.89,영서,인제,128.16856063548136,38.04366882682685,235.5117645263672
YS_0005,731,9.62313041495668,5.187113543091655,14.56136798905609,9.374254445964432,68.68823814409484,1.4354645462836297,3.441573187414501,2740.82,1370.41,영서,태백,128.9844178845016,37.15809787466207,685.01806640625
YS_0006,731,10.687386000911992,5.720820793433653,16.241819425444596,10.520998632010944,77.02284826721386,1.5064722982216143,2.9852393980848153,2916.83,1458.415,영서,철원,127.3339612342834,38.15667166616021,329.27099609375
YS_0007,731,11.239445964432285,6.175362517099862,17.259740082079343,11.08437756497948,75.63942772457821,1.3768256953944369,3.1908618331053353,2285.47,1142.735,영서,횡성,127.94864798056436,37.49666755157354,271.10125732421875
YS_0008,731,10.562271431828545,5.594979480164159,16.52719562243502,10.932216142270862,75.6459154126767,1.3735704514363887,3.3680300957592344,2337.28,1168.64,영서,기린,128.30428778743203,37.94275909544327,468.4010009765625
YS_0009,731,10.854914500683995,5.305225718194254,17.937017783857726,12.631792065663475,78.55820052439582,0.9289141586867306,2.6011901504787964,2564.63,1282.315,영서,팔봉,127.6901183801838,37.68222632295505,241.6969757080078
YS_0010,731,12.031835955312358,7.147783857729138,17.786538987688097,10.63875512995896,68.98427439580483,1.1067276561787507,3.0380984952120382,2449.31,1224.655,영서,영월,128.45878155500836,37.1918864728047,253.17942810058594
YS_0011,731,9.889253875968992,6.213529411764706,13.990519835841313,7.776990424076607,74.24148084815322,2.5738708390332876,3.9703830369357043,2780.44,1390.22,영서,대관령,128.71048146967948,37.72351572508557,968.8475341796875
YS_0012,731,10.845090629274965,5.478782489740082,17.54640218878249,12.067619699042408,69.37787676698586,1.4153824669402644,3.508426812585499,2622.53,1311.265,영서,양구,127.99642072636628,38.10281501547259,288.71612548828125
YS_0013,731,11.141173050615595,6.3678522571819425,17.081655266757867,10.713803009575923,70.60299988600092,1.7547765617875055,4.166497948016416,2416.35,1208.175,영서,정선군,128.63486528156517,37.3647290404191,611.6399536132812
YS_0014,731,11.12374259005928,5.819452804377565,18.163269493844048,12.343816689466484,76.48951379388966,0.9533054035567716,2.62625170998632,2758.63,1379.315,영서,화천,127.70403032643988,38.08479213789963,122.57811737060547
YS_0015,731,11.275759233926129,6.615649794801642,17.35763337893297,10.741983584131328,77.67473153214775,0.9696654126766986,2.4515731874145006,2847.69,1423.845,영서,남이섬,127.5584087661896,37.7785753822513,277.07659912109375
YS_0016,731,9.79393239854081,6.16389876880985,13.845800273597812,7.681901504787962,76.92530152758778,2.827238372093023,4.200218878248974,2430.76,1215.38,영서,스키점프,128.64753064284983,37.70379288065001,1005.3754272460938
YS_0017,731,10.496477428180574,5.386853625170999,16.221272229822162,10.834418604651162,74.53559450524396,1.3045508435932514,2.94187414500684,3191.75,1595.875,영서,양지,127.29848679319318,38.27358035305966,202.3148651123047
YS_0018,731,9.635027929776562,4.407523939808482,16.031039671682628,11.623515731874146,73.37816461468309,1.1043154354765161,2.645813953488372,2285.06,1142.53,영서,방산,127.97425278942852,38.22060094009784,367.97357177734375
YS_0019,731,10.672609439124487,5.460766073871409,16.939015047879618,11.478248974008208,72.38038417692658,2.1168217054263567,4.878632010943913,2351.57,1175.785,영서,신동,128.63001020317688,37.20800276310477,557.0578002929688
YS_0020,731,9.151358869129048,4.283515731874145,14.571285909712723,10.287770177838578,74.02575980392156,1.6792538759689923,3.287058823529412,2626.49,1313.245,영서,대화,128.47728611518068,37.52241669794688,553.6029663085938
YS_0021,731,9.262116963064296,4.205075239398084,15.166497948016415,10.961422708618331,76.38700980392157,2.0641279069767444,4.254487004103967,2306.38,1153.19,영서,진부,128.55001338941614,37.65968049579804,588.4130859375
YS_0022,731,10.541477998176015,4.8495348837209304,17.209233926128594,12.359699042407662,73.25238942088463,1.5183059735522115,3.9666210670314634,2424.39,1212.195,영서,청일,128.14020217553954,37.59088670778849,452.9772033691406
YS_0023,731,9.173002165982671,4.01608755129959,14.512093023255813,10.496005471956224,80.58230677154583,1.240515845873233,2.869124487004104,2789.07,1394.535,영서,안흥,128.18631017820965,37.45463559013893,494.0508117675781
YS_0024,731,9.69813839489284,3.9506019151846785,16.437564979480165,12.486963064295484,78.7395799133607,1.4073039215686276,3.5075649794801644,2533.02,1266.51,영서,서석,128.1835068310461,37.73672429633393,584.8184204101562
YS_0025,731,9.187063953488371,4.018413132694938,14.916060191518467,10.89764705882353,76.17172309621523,1.6318769949840402,3.688932968536252,2497.92,1248.96,영서,봉평,128.36440343985802,37.63987112471458,716.86865234375
YS_0026,731,10.605848723210215,5.608714090287278,16.270123119015047,10.66140902872777,73.34016586867304,2.0462762197902418,4.568809849521204,3115.8,1557.9,영서,외촌,127.17885812848336,38.27132822692793,199.90097045898438
YS_0027,731,10.74016016871865,6.081915184678523,16.439904240766072,10.35798905608755,71.28257922936616,2.1659764021887824,4.7918057455540355,2354.37,1177.185,영서,북평,128.66937792458748,37.480088901404784,659.745849609375
YS_0028,731,10.96890446876425,5.73704514363885,17.349616963064296,11.612571819425444,74.69968365253078,1.428471842225262,3.352626538987688,2492.63,1246.315,영서,영월주천,128.26822401451136,37.283938350826965,254.72605895996094
YS_0029,731,8.990090059279526,5.8013132694938445,12.650191518467853,6.848878248974008,73.25733413132696,3.2960259917920656,5.432024623803009,2769.85,1384.925,영서,원주백운산,127.93697241533516,37.24548314952887,844.1372680664062
YS_0030,731,9.633698130414958,4.706922024623803,15.36403556771546,10.657113543091656,77.15118103055175,1.6245622435020521,3.663611491108071,2952.7,1476.35,영서,서화,128.22380298643918,38.24501339494421,515.7597045898438
YS_0031,731,8.710405836753306,3.425690834473324,14.830875512995897,11.405184678522572,77.97879673962609,1.5119676242590059,3.4622024623803007,2587.75,1293.875,영서,내면,128.3885885048402,37.77711394308972,674.1167602539062
YS_0032,731,9.15499373005016,5.132530779753762,13.80827633378933,8.675745554035569,68.27432455540355,2.9282387140902872,6.42595075239398,2850.97,1425.485,영서,사북,128.82175677093102,37.237253208881015,784.0424194335938
YS_0033,731,9.895144208846329,5.052886456908345,15.604965800273597,10.552079343365254,75.96024680802553,1.8520177838577292,3.839794801641587,2382.4,1191.2,영서,임계,128.85722822506546,37.474342362443565,620.1671752929688
YS_0034,731,9.199675102599178,4.30250341997264,14.575307797537619,10.272804377564979,71.91207079343364,2.439969220246238,4.962161422708618,3047.0,1523.5,영서,해안,128.10616088592695,38.261479016780086,636.2874755859375
YS_0035,731,9.634473324213406,6.370670314637483,13.633378932968537,7.262708618331053,63.05009746922024,1.6165378476972183,3.1195075239398085,3047.45,1523.725,영서,도계,129.08985813281456,37.23569549513475,911.2505493164062
YS_0036,731,7.708323643410853,4.343720930232559,11.996183310533514,7.652462380300958,74.9661531007752,2.487916096671227,4.129712722298222,3487.43,1743.715,영서,구룡령,128.5449412266847,37.860266949358056,825.0979614257812
YS_0037,731,11.707318741450067,6.683666210670315,17.669616963064296,10.98595075239398,71.45555061559507,1.4448643410852715,3.41015047879617,2756.47,1378.235,영서,춘천신북,127.79144212932904,37.95686671628988,452.09454345703125
YS_0038,731,10.729467054263566,5.424938440492476,17.28827633378933,11.863337893296855,67.66639477884176,1.130357957136343,3.061422708618331,2287.45,1143.725,영서,평창,128.40432179611346,37.37923424948021,297.275390625
YS_0039,731,9.264708162334701,5.59469220246238,13.391600547195623,7.796908344733242,72.47638907888737,3.222872777017784,4.850123119015048,5295.43,2647.715,영서,진부령,128.34989690002007,38.24682492831688,735.55712890625
YS_0040,731,10.703530551755586,5.914705882352941,16.41634746922025,10.501641586867304,74.68659940720474,1.4547269721842226,3.000519835841313,2724.8,1362.4,영서,치악산,128.0651683243498,37.39590143734621,764.7323608398438
YS_0041,731,10.572372321021433,7.1404240766073865,14.433173734610122,7.292749658002736,68.82322845417237,2.5069881440948474,3.866894664842681,3792.41,1896.205,영서,오색,128.4653871345008,38.06390164313808,766.5418090820312
YS_0042,731,11.265047879616963,6.325991792065664,17.17857729138167,10.852585499316005,75.61007808937529,1.796436958504332,3.536703146374829,2658.13,1329.065,영서,부론,127.8047969532804,37.20529223125496,386.6357727050781
YS_0043,731,10.351783515731874,5.2774418604651165,16.15482900136799,10.877387140902872,74.1675341997264,1.5342248062015504,3.429439124487004,2734.59,1367.295,영서,신림,128.09738518302416,37.26180898523015,502.7517395019531
YS_0044,731,9.669744072047424,5.02796169630643,15.38796169630643,10.36,62.62052610579116,1.3570274737802097,2.6550752393980845,2665.94,1332.97,영서,간동,127.76752760085569,38.26373830761405,337.3363952636719
YS_0045,731,6.444737802097584,3.1869493844049246,10.455813953488372,7.268864569083448,71.33038588691291,3.48890959872321,5.82658002735978,2330.37,1165.185,영서,임남,127.86833440763104,38.28590422744528,903.08935546875
YS_0046,731,10.266125170998633,5.4733789329685365,16.241354309165526,10.767975376196992,67.05302496580028,1.2879109667122661,2.697701778385773,2593.83,1296.915,영서,평화,127.84318217583692,38.17870858793136,237.71942138671875
YS_0047,731,7.6984689922480625,4.739958960328317,11.118727770177838,6.378768809849522,70.99416324669401,3.696012881896945,5.898809849521204,4329.34,2164.67,영서,설악산,128.40915311938684,38.11638724056105,1197.0443115234375
YS_0048,731,8.692148312813497,5.400779753761969,12.50093023255814,7.10015047879617,69.82831509347926,4.977770747834017,7.444965800273598,5275.53,2637.765,영서,미시령,128.4039210535427,38.19250402755127,971.1398315429688
YS_0049,731,9.018004445964433,3.963720930232558,14.618508891928863,10.654787961696305,68.40175045599635,1.5373198814409483,3.6190834473324216,2171.39,1085.695,영서,하장,128.9227036364084,37.35926768235871,630.2314453125
YS_0050,731,10.664722982216142,5.545294117647059,17.06563611491108,11.520341997264023,74.72583276333789,1.6087391700866391,3.566730506155951,2468.4,1234.2,영서,신남,128.07518894636482,37.93714006799847,374.3219299316406
YS_0051,731,10.792102143182854,5.750957592339261,16.81361149110807,11.06265389876881,72.83587893296853,1.050921682626539,2.8277564979480165,2732.19,1366.095,영서,북산,127.88089540887708,38.026704772037775,204.99549865722656
YS_0052,731,9.540672594619243,3.5834062927496584,16.148987688098494,12.565581395348838,78.69660909712722,1.2435197218422254,2.923173734610123,2917.8,1458.9,영서,김화,127.41297782488978,38.26015486354355,243.30628967285156
YS_0053,731,8.868389192886456,4.151969904240766,13.973023255813954,9.821053351573187,74.17089261285909,1.7590720474236206,4.120738714090288,2714.51,1357.255,영서,강릉왕산,128.76590906630943,37.60075870461102,708.6710205078125
YS_0054,731,9.583827519379845,4.155909712722298,16.016812585499316,11.860902872777018,79.92881383948928,1.0881623347013225,2.506060191518468,2881.52,1440.76,영서,사내,127.54554178673166,38.06077939383968,393.14141845703125
YS_0055,731,9.462777587779298,7.275280437756497,11.994952120383036,4.719671682626539,67.62562756497948,2.221200980392157,3.0691655266757865,2027.58,1013.79,영서,조침령,128.46294192629105,37.98485547199376,649.7570190429688
YS_0056,731,9.229917920656634,5.138030095759234,13.695595075239398,8.557564979480164,75.99904810761514,2.5434330825353397,4.134049247606018,2483.84,1241.92,영서,평창용산,128.65871898755103,37.60672486459708,1179.4351806640625
YS_0057,731,10.604896830825354,5.792366621067032,16.44735978112175,10.654993160054719,66.62541438668491,1.625860693114455,3.180889192886457,2670.36,1335.18,영서,원통,128.2192222473178,38.12865752472447,229.8896026611328
YS_0058,731,9.175495896032832,3.9943638850889194,14.958700410396716,10.964336525307798,72.62089147286822,1.5134974920200637,3.3736935704514366,2477.54,1238.77,영서,면온,128.3346041403104,37.5331160842517,739.6986083984375
YS_0059,731,8.415020519835842,5.280601915184678,11.927072503419973,6.646470588235294,69.46647343821249,3.433468992248062,5.073187414500684,5025.0,2512.5,영서,향로봉,128.3027789399532,38.39560947032933,586.130126953125
YS_0060,731,10.677462380300959,5.765006839945281,16.191969904240764,10.426963064295485,71.71055289557684,2.1913343593251255,4.69343365253078,3186.33,1593.165,영서,철원장흥,127.24800908883604,38.20667346233736,176.78268432617188
YS_0061,731,9.289090857273141,3.9875376196990424,15.692585499316007,11.705047879616963,74.62661080711354,0.8320098039215686,2.1827906976744185,2626.31,1313.155,영서,상서,127.65613353100846,38.212072974412834,294.91802978515625
YS_0062,731,9.907758207934336,4.525540355677155,16.017236662106704,11.49169630642955,82.58841199270405,1.2056127450980392,2.746484268125855,2686.51,1343.255,영서,마현,127.5496610278362,38.261219753807616,344.0892333984375
YS_0063,731,10.446154240766074,5.466005471956224,16.155512995896032,10.689507523939808,66.11222697218422,1.284779981760146,2.663324213406293,3232.25,1616.125,영서,동송,127.21555890362971,38.16371295807731,421.52178955078125
YS_0064,731,11.799331965344278,6.711354309165527,17.901463748290013,11.190109439124488,73.59202519379845,1.801464888280894,3.6945554035567714,2405.43,1202.715,영서,문막,127.82120013108828,37.33443756803011,59.98776626586914
YS_0065,731,10.740782033743729,5.151025991792066,17.570889192886458,12.419863201094392,71.0659211126311,1.592627678978568,3.884254445964432,2485.12,1242.56,영서,화촌,127.98334814135212,37.80049112163111,212.02206420898438
YS_0066,731,11.366129160966713,8.251792065663475,14.941956224350205,6.690164158686731,66.95674475604196,3.242531349749202,5.139439124487004,3249.76,1624.88,영서,양양영덕,128.5527120130314,37.98388828389451,230.70840454101562
YS_0067,731,8.345699384404925,3.4727770177838577,13.83046511627907,10.357688098495212,75.75035909712722,1.1924977200182398,2.5398495212038306,3339.24,1669.62,영서,삽당령,128.86014950930988,37.56932643158695,789.2318725585938
YS_0068,731,10.27219277245782,5.290054719562244,16.181162790697673,10.891108071135431,74.22393809849521,1.331327519379845,3.4194391244870044,2521.87,1260.935,영서,상동,128.770023313925,37.10707481769602,685.0502319335938
YS_0069,731,11.000090629274965,5.400615595075239,17.625239398084815,12.224623803009576,72.68440264477884,1.015092909256726,2.8724897400820795,2510.66,1255.33,영서,남산,127.66013028841832,37.79656013703919,330.73199462890625
YS_0070,731,7.871268239854081,4.293201094391245,12.231162790697674,7.937961696306429,78.32035339717282,2.9574509803921565,4.7028180574555405,2812.68,1406.34,영서,광덕산,127.4448923160912,38.14597486227514,739.3656005859375
YS_0071,731,-0.5669830141358869,-1.178467852257182,0.15606019151846784,1.3345280437756497,80.84263793889649,0.14995896032831738,0.3164979480164159,275.29,137.645,영서,시동,127.84795863697867,37.57970363059224,251.95851135253906
