순번,변수명,그룹,자료형,단위_형식,모델사용,설명,출처,결측수,고유값수
23,사면방향_sin,공간·지형,float64,-,모델 후보,사면방향을 사인으로 순환 변환한 값,학습데이터_최종_캐나다지수.csv,0,9106
24,사면방향_cos,공간·지형,float64,-,모델 후보,사면방향을 코사인으로 순환 변환한 값,학습데이터_최종_캐나다지수.csv,0,9104
25,TPI(지형위치지수),공간·지형,float64,-,모델 후보,주변 지형 대비 표본 위치의 상대적 고저를 나타내는 TPI,학습데이터_최종_캐나다지수.csv,0,9100
26,시점_기온_C,기상,float64,°C,모델 후보,기준시각의 기온,학습데이터_최종_캐나다지수.csv,0,3711
27,시점_풍속_m_s,기상,float64,m/s,모델 후보,기준시각의 풍속,학습데이터_최종_캐나다지수.csv,0,770
28,시점_습도_pct,기상,float64,%,모델 후보,기준시각의 상대습도,학습데이터_최종_캐나다지수.csv,0,6919
29,직전24h_평균풍속,기상,float64,m/s,모델 후보,기준시각 이전 24시간의 풍속 평균값,학습데이터_최종_캐나다지수.csv,0,8937
30,직전24h_최대풍속,기상,float64,m/s,모델 후보,기준시각 이전 24시간의 풍속 최대값,학습데이터_최종_캐나다지수.csv,0,918
31,직전48h_평균풍속,기상,float64,m/s,모델 후보,기준시각 이전 48시간의 풍속 평균값,학습데이터_최종_캐나다지수.csv,0,10809
32,직전48h_최대풍속,기상,float64,m/s,모델 후보,기준시각 이전 48시간의 풍속 최대값,학습데이터_최종_캐나다지수.csv,0,920
33,직전24h_평균기온_C,기상,float64,°C,모델 후보,기준시각 이전 24시간의 기온_C 평균값,학습데이터_최종_캐나다지수.csv,0,14219
34,직전24h_평균습도,기상,float64,%,모델 후보,기준시각 이전 24시간의 습도 평균값,학습데이터_최종_캐나다지수.csv,0,14664
35,직전24h_최소습도,기상,float64,%,모델 후보,기준시각 이전 24시간의 습도 최소값,학습데이터_최종_캐나다지수.csv,0,5827
36,직전48h_평균습도,기상,float64,%,모델 후보,기준시각 이전 48시간의 습도 평균값,학습데이터_최종_캐나다지수.csv,0,14950
37,직전48h_최소습도,기상,float64,%,모델 후보,기준시각 이전 48시간의 습도 최소값,학습데이터_최종_캐나다지수.csv,0,5114
38,직전24h_강수량합,기상,float64,mm,모델 후보,기준시각 이전 24시간의 강수량합 값,학습데이터_최종_캐나다지수.csv,0,2602
39,직전48h_강수량합,기상,float64,mm,모델 후보,기준시각 이전 48시간의 강수량합 값,학습데이터_최종_캐나다지수.csv,0,3434
40,시점_풍향_deg,기상,float64,degree,sin/cos 사용 시 X 제외,기준시각 풍향의 각도,학습데이터_최종_캐나다지수.csv,0,11505
41,풍향_sin,기상,float64,-,모델 후보,기준시각 풍향의 사인 변환값,학습데이터_최종_캐나다지수.csv,0,10898
42,풍향_cos,기상,float64,-,모델 후보,기준시각 풍향의 코사인 변환값,학습데이터_최종_캐나다지수.csv,0,10834
43,서풍계열_여부,기상,int64,-,모델 후보,"기준시각 풍향이 서풍 계열이면 1, 아니면 0",학습데이터_최종_캐나다지수.csv,0,2
44,시점_현지기압_hPa,기상,float64,hPa,모델 후보,기준시각의 현지기압,학습데이터_최종_캐나다지수.csv,0,4862
45,시점_해면기압_hPa,기상,float64,hPa,모델 후보,기준시각의 해면기압,학습데이터_최종_캐나다지수.csv,0,3080
46,기압변동_3h,기상,float64,hPa,모델 후보,기준시각 현지기압과 3시간 전 현지기압의 차이,학습데이터_최종_캐나다지수.csv,0,1048
47,D-1_최소습도_pct,기상,float64,%,모델 후보,기준일 1일 전의 일단위 최소습도_pct,학습데이터_최종_캐나다지수.csv,0,5735
48,D-1_평균습도_pct,기상,float64,%,모델 후보,기준일 1일 전의 일단위 평균습도_pct,학습데이터_최종_캐나다지수.csv,0,10962
49,D-1_강수량합_mm,기상,float64,mm,모델 후보,기준일 1일 전의 일단위 강수량합_mm,학습데이터_최종_캐나다지수.csv,0,1430
50,D-2_최소습도_pct,기상,float64,%,모델 후보,기준일 2일 전의 일단위 최소습도_pct,학습데이터_최종_캐나다지수.csv,0,5623
51,D-3_최소습도_pct,기상,float64,%,모델 후보,기준일 3일 전의 일단위 최소습도_pct,학습데이터_최종_캐나다지수.csv,0,5673
52,log1p_도로_최단거리_m,공간·지형,float64,m,log1p 변수와 비교 후 택1,표본 위치에서 가장 가까운 log1p_도로까지 거리,학습데이터_최종_캐나다지수.csv,0,8574
53,log1p_임도_최단거리_m,공간·지형,float64,m,log1p 변수와 비교 후 택1,표본 위치에서 가장 가까운 log1p_임도까지 거리,학습데이터_최종_캐나다지수.csv,0,9290
54,log1p_산림지역_최단거리_m,공간·지형,float64,m,log1p 변수와 비교 후 택1,표본 위치에서 가장 가까운 log1p_산림지역까지 거리,학습데이터_최종_캐나다지수.csv,0,3222
55,캐나다지수_기준날짜,캐나다 FWI,datetime64[us],YYYY-MM-DD,"검증용, X 제외",해당 표본에 실제 연결된 정오 캐나다지수 날짜,최종 데이터 생성 스크립트,0,729
56,캐나다지수_정책,캐나다 FWI,str,-,"검증용, X 제외",캐나다지수 as-of 병합 정책 코드,최종 데이터 생성 스크립트,0,1
57,FFMC,캐나다 FWI,float64,-,모델 후보,정오 기상과 전일 상태로 계산한 미세연료수분지수,캐나다_FFMC/FWI_일단위.csv 재병합,0,11401
58,FFMC_10일평균,캐나다 FWI,float64,-,모델 후보,기상셀별 FFMC의 최근 10일 이동평균,캐나다_FFMC/FWI_일단위.csv 재병합,0,11401
59,Indexed_FFMC,캐나다 FWI,int64,-,모델 후보,FFMC 10일 평균을 선행연구 기준 4단계로 변환한 지수,캐나다_FFMC/FWI_일단위.csv 재병합,0,4
60,FFMC_논문식_발생확률,캐나다 FWI,float64,-,모델 후보,Indexed_FFMC를 강원도 선행연구 로지스틱 식에 대입한 참고값,캐나다_FFMC/FWI_일단위.csv 재병합,0,4
61,DMC,캐나다 FWI,float64,-,모델 후보,중간 깊이 유기물층의 누적 건조도를 나타내는 Duff Moisture Code,캐나다_FFMC/FWI_일단위.csv 재병합,0,10863
62,DC,캐나다 FWI,float64,-,모델 후보,깊은 유기물층의 장기 건조도를 나타내는 Drought Code,캐나다_FFMC/FWI_일단위.csv 재병합,0,10155
63,ISI,캐나다 FWI,float64,-,모델 후보,FFMC와 풍속을 결합한 초기확산지수,캐나다_FFMC/FWI_일단위.csv 재병합,0,11401
64,BUI,캐나다 FWI,float64,-,모델 후보,DMC와 DC를 결합한 가용연료 누적건조지수,캐나다_FFMC/FWI_일단위.csv 재병합,0,10730
65,FWI,캐나다 FWI,float64,-,모델 후보,ISI와 BUI를 결합한 최종 화재기상위험지수,캐나다_FFMC/FWI_일단위.csv 재병합,0,11401
66,fire_id,분할 메타데이터,str,-,"분할·추적용, X 제외",Target 1 산불 사건 식별자,학습데이터_로지스틱_D2D3.csv,15492,1553
67,원본_fire_id,분할 메타데이터,str,-,"분할·추적용, X 제외",대조 표본이 연결된 원본 산불 사건 식별자,학습데이터_로지스틱_D2D3.csv,9307,1553
68,후보점ID,분할 메타데이터,str,-,"분할·추적용, X 제외",공간 대조 후보점 식별자,학습데이터_로지스틱_D2D3.csv,9291,7754
69,source_fire_id,분할 메타데이터,str,-,"분할·추적용, X 제외",음성표본 생성 시 참조한 산불 사건 식별자,학습데이터_로지스틱_D2D3.csv,7754,1553
70,모델링_그룹ID,분할 메타데이터,str,-,"분할·추적용, X 제외",연결된 양성·대조 표본을 같은 fold에 배치하기 위한 그룹 ID,학습데이터_로지스틱_D2D3.csv,0,9307
71,log1p_시가화거리_m,공간·지형,float64,m,모델 후보,시가화거리 거리의 log(1+x) 변환값,학습데이터_로지스틱_D2D3.csv,0,8405
72,log1p_농업거리_m,공간·지형,float64,m,모델 후보,농업거리 거리의 log(1+x) 변환값,학습데이터_로지스틱_D2D3.csv,0,8525
73,log1p_등산로거리_m,공간·지형,float64,m,모델 후보,등산로거리 거리의 log(1+x) 변환값,학습데이터_로지스틱_D2D3.csv,0,9290
74,월_sin,계절·시간,float64,-,모델 후보,월을 12개월 주기로 사인 변환한 값,학습데이터_로지스틱_D2D3.csv,0,11
75,월_cos,계절·시간,float64,-,모델 후보,월을 12개월 주기로 코사인 변환한 값,학습데이터_로지스틱_D2D3.csv,0,11
76,시간_sin,계절·시간,float64,-,모델 후보,시간을 24시간 주기로 사인 변환한 값,학습데이터_로지스틱_D2D3.csv,0,20
77,시간_cos,계절·시간,float64,-,모델 후보,시간을 24시간 주기로 코사인 변환한 값,학습데이터_로지스틱_D2D3.csv,0,22
78,토지피복_L1_CODE,토지피복,str,-,코드·명칭 중 표현 택1,세분류 토지피복도의 대분류 코드,학습데이터_로지스틱_D2D3.csv,0,8
79,토지피복_L1_NAME,토지피복,str,-,코드·명칭 중 표현 택1,세분류 토지피복도의 대분류 명칭,학습데이터_로지스틱_D2D3.csv,0,8
80,토지피복_L2_CODE,토지피복,str,-,코드·명칭 중 표현 택1,세분류 토지피복도의 중분류 코드,학습데이터_로지스틱_D2D3.csv,0,22
81,토지피복_L2_NAME,토지피복,str,-,코드·명칭 중 표현 택1,세분류 토지피복도의 중분류 명칭,학습데이터_로지스틱_D2D3.csv,0,22
82,토지피복_매칭방식,토지피복,str,-,모델 후보,공간점이 토지피복 폴리곤에 연결된 방식,학습데이터_로지스틱_D2D3.csv,0,3
83,토지피복_산림지역,토지피복,int64,-,모델 후보,"토지피복 분류가 산림지역에 해당하면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,2
84,토지피복_시가화건조지역,토지피복,int64,-,모델 후보,"토지피복 분류가 시가화건조지역에 해당하면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,2
85,토지피복_농업지역,토지피복,int64,-,모델 후보,"토지피복 분류가 농업지역에 해당하면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,2
86,토지피복_초지,토지피복,int64,-,모델 후보,"토지피복 분류가 초지에 해당하면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,2
87,토지피복_나지,토지피복,int64,-,모델 후보,"토지피복 분류가 나지에 해당하면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,2
88,토지피복_도로,토지피복,int64,-,모델 후보,"토지피복 분류가 도로에 해당하면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,2
89,토지피복_활엽수림,토지피복,int64,-,모델 후보,"토지피복 분류가 활엽수림에 해당하면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,2
90,토지피복_침엽수림,토지피복,int64,-,모델 후보,"토지피복 분류가 침엽수림에 해당하면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,2
91,토지피복_혼효림,토지피복,int64,-,모델 후보,"토지피복 분류가 혼효림에 해당하면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,2
92,토지피복_산림유형,토지피복,str,-,모델 후보,활엽수림·침엽수림·혼효림·비산림·미상 구분,학습데이터_로지스틱_D2D3.csv,0,5
93,비산림_WUI_접경후보,토지피복,int64,-,모델 후보,생활권-WUI 표본 중 토지피복상 비산림인 접경 후보 여부,학습데이터_로지스틱_D2D3.csv,0,2
94,임상도_zip,임상도,str,-,매칭률 점검 후 후보,표본에 매칭된 수종별 임상도 원천 zip 파일명,학습데이터_로지스틱_D2D3.csv,17017,4
95,임상도_매칭수,임상도,int64,-,매칭률 점검 후 후보,표본 위치와 공간적으로 매칭된 임상도 객체 수,학습데이터_로지스틱_D2D3.csv,0,2
96,임상도_매칭여부,임상도,int64,-,매칭률 점검 후 후보,"임상도 매칭이 존재하면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,2
97,임상도_출처,임상도,str,-,매칭률 점검 후 후보,임상도 매칭 자료의 출처 또는 미매칭 표시,학습데이터_로지스틱_D2D3.csv,0,2
98,임상구분코드,임상도,float64,-,매칭률 점검 후 후보,임상도의 산림 형태 코드,학습데이터_로지스틱_D2D3.csv,17017,2
99,임상구분,임상도,str,-,매칭률 점검 후 후보,임상도의 산림 형태 명칭,학습데이터_로지스틱_D2D3.csv,0,3
100,수종코드,임상도,float64,-,매칭률 점검 후 후보,임상도의 대표 수종 코드,학습데이터_로지스틱_D2D3.csv,17017,4
101,수종,임상도,str,-,매칭률 점검 후 후보,임상도의 대표 수종 명칭,학습데이터_로지스틱_D2D3.csv,0,5
102,경급코드,임상도,float64,-,매칭률 점검 후 후보,임목 흉고직경 등급 코드,학습데이터_로지스틱_D2D3.csv,17019,3
103,경급,임상도,str,-,매칭률 점검 후 후보,임목 흉고직경 등급 명칭,학습데이터_로지스틱_D2D3.csv,0,4
104,영급코드,임상도,float64,-,매칭률 점검 후 후보,임령 등급 코드,학습데이터_로지스틱_D2D3.csv,17019,4
105,영급,임상도,str,-,매칭률 점검 후 후보,임령 등급 명칭,학습데이터_로지스틱_D2D3.csv,0,5
106,소밀도코드,임상도,str,-,매칭률 점검 후 후보,임목 밀도 등급 코드,학습데이터_로지스틱_D2D3.csv,17019,3
107,소밀도,임상도,str,-,매칭률 점검 후 후보,임목 밀도 등급 명칭,학습데이터_로지스틱_D2D3.csv,0,4
108,임상_영급_숫자,임상도,int64,-,매칭률 점검 후 후보,영급 코드를 모델용 숫자로 변환한 값,학습데이터_로지스틱_D2D3.csv,0,5
109,임상_경급_숫자,임상도,int64,-,매칭률 점검 후 후보,경급 코드를 모델용 숫자로 변환한 값,학습데이터_로지스틱_D2D3.csv,0,4
110,임상_소밀도_순서,임상도,int64,-,매칭률 점검 후 후보,소밀도를 소·중·밀 순서의 숫자로 변환한 값,학습데이터_로지스틱_D2D3.csv,0,4
111,임상_산림여부,임상도,int64,-,매칭률 점검 후 후보,"임상구분상 산림이면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,2
112,임상_침엽수림,임상도,int64,-,매칭률 점검 후 후보,"임상구분상 침엽수림이면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,1
113,임상_활엽수림,임상도,int64,-,매칭률 점검 후 후보,"임상구분상 활엽수림이면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,2
114,임상_혼효림,임상도,int64,-,매칭률 점검 후 후보,"임상구분상 혼효림이면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,1
115,임상_소나무류,임상도,int64,-,매칭률 점검 후 후보,"대표 수종이 소나무류이면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,1
116,임상_침엽수_수종,임상도,int64,-,매칭률 점검 후 후보,"대표 수종이 침엽수 계열이면 1, 아니면 0",학습데이터_로지스틱_D2D3.csv,0,1
117,임상_수종_대분류,임상도,str,-,매칭률 점검 후 후보,수종을 소나무류·기타침엽수·활엽수 등으로 재분류한 값,학습데이터_로지스틱_D2D3.csv,0,3
